Company Name,Company Ticker,Name,Age,Position,Appointed,
"Acacia Communications, Inc.",ACIA.O,Mehrdad Givehchi,53,"Co-Founder, Vice President - Hardware and Software",2015,
"Acacia Communications, Inc.",ACIA.O,Murugesan Shanmugaraj,61,"President, Chief Executive Officer, Director",2010,
"Acacia Communications, Inc.",ACIA.O,Peter Y. Chung,52,Independent Director,2013,
"Acacia Communications, Inc.",ACIA.O,Stan J Reiss,47,Independent Director,2009,
"Acacia Communications, Inc.",ACIA.O,Vincent T. Roche,59,Independent Chairman of the Board,2017,
Acacia Research Corp,ACTG.O,Alfred V. Tobia,54,"President, Chief Investment Officer, Director",2019,
Acacia Research Corp,ACTG.O,Clifford Press,65,"Chief Executive Officer, Director",2019,
Acacia Research Corp,ACTG.O,Isaac T. Kohlberg,67,Independent Director,2019,
Acacia Research Corp,ACTG.O,Jonathan Sagal,,Director,2020,
Acacia Research Corp,ACTG.O,Katharine Wolanyk,56,Independent Director,2019,
Acacia Research Corp,ACTG.O,Luis E. Rinaldini,64,Independent Director,2019,
Acacia Research Corp,ACTG.O,Marc W. Booth,61,Chief Intellectual Property Officer,2018,
Acacia Research Corp,ACTG.O,Maureen E. O'Connell,57,Independent Chairman of the Board,2019,
Acadia Healthcare Company Inc,ACHC.O,Christopher L. Howard,52,"Executive Vice President, General Counsel, Secretary",2011,
Acadia Healthcare Company Inc,ACHC.O,David M. Duckworth,39,Chief Financial Officer,2012,
Acadia Healthcare Company Inc,ACHC.O,Debra K. Osteen,63,"Chief Executive Officer, Director",2018,
Acadia Healthcare Company Inc,ACHC.O,E. Perot Bissell,59,Independent Director,2013,
Acadia Healthcare Company Inc,ACHC.O,Jason R. Bernhard,,Independent Director,2019,
Acadia Healthcare Company Inc,ACHC.O,John S. Hollinsworth,55,Executive Vice President of Operations,2019,
Acadia Healthcare Company Inc,ACHC.O,Laurence L Harrod,63,Executive Vice President - Finance,2019,
Acadia Healthcare Company Inc,ACHC.O,Reeve B. Waud,55,Chairman of the Board,2018,
Acadia Healthcare Company Inc,ACHC.O,Vicky B. Gregg,64,Independent Director,2016,
Acadia Healthcare Company Inc,ACHC.O,W. Brent Turner,53,President,2012,
Acadia Healthcare Company Inc,ACHC.O,Wade D. Miquelon,54,Independent Director,2012,
Acadia Healthcare Company Inc,ACHC.O,William F. Grieco,65,Independent Director,2011,
Acadia Healthcare Company Inc,ACHC.O,William M. Petrie,72,Independent Director,2012,
ACADIA Pharmaceuticals Inc.,ACAD.O,Austin D. Kim,55,"Executive Vice President, General Counsel, and Secretary",2018,
ACADIA Pharmaceuticals Inc.,ACAD.O,Daniel B. Soland,60,Independent Director,2015,
ACADIA Pharmaceuticals Inc.,ACAD.O,Edmund P. Harrigan,66,Independent Director,2015,
ACADIA Pharmaceuticals Inc.,ACAD.O,Elena H. Ridloff,39,"Executive Vice President, Chief Financial Officer",2019,
ACADIA Pharmaceuticals Inc.,ACAD.O,Eric Alejandro Miller,39,Principal Accounting Officer,2019,
ACADIA Pharmaceuticals Inc.,ACAD.O,James Michael Daly,58,Independent Director,2016,
ACADIA Pharmaceuticals Inc.,ACAD.O,Julian C. Baker,52,Independent Director,2016,
ACADIA Pharmaceuticals Inc.,ACAD.O,Laura A. Brege,61,Independent Director,2008,
ACADIA Pharmaceuticals Inc.,ACAD.O,Mark Johnson,,"Vice President, Investor Relations",2018,
ACADIA Pharmaceuticals Inc.,ACAD.O,Michael J. Yang,57,"Executive Vice President, Chief Commercial Officer",2017,
ACADIA Pharmaceuticals Inc.,ACAD.O,Ponni Subbiah,,"Senior Vice President, Global Head of Medical Affairs and Chief Medical Officer",2019,
ACADIA Pharmaceuticals Inc.,ACAD.O,Srdjan Stankovic,62,President,2018,
ACADIA Pharmaceuticals Inc.,ACAD.O,Stephanie Fagan,,"Senior Vice President - Corporate Affairs, Chief Communications Officer",2019,
ACADIA Pharmaceuticals Inc.,ACAD.O,Stephen R. Biggar,48,Independent Chairman of the Board,2016,
ACADIA Pharmaceuticals Inc.,ACAD.O,Stephen R. Davis,58,Director and Chief Executive Officer,2019,
Acadia Realty Trust,AKR,Amy Racanello,,"Senior Vice President, Capital Markets & Investments",2016,
Acadia Realty Trust,AKR,C David Zoba,67,Independent Trustee,2015,
Acadia Realty Trust,AKR,Christopher M. Conlon,59,"Chief Operating Officer, Executive Vice President",2012,
Acadia Realty Trust,AKR,Douglas Crocker,78,Independent Trustee,2003,
Acadia Realty Trust,AKR,Jason Blacksberg,43,"Senior Vice President, Chief Compliance Officer, General Counsel, Secretary",2016,
Acadia Realty Trust,AKR,John J. Gottfried,47,"Chief Financial Officer, Senior Vice President",2016,
Acadia Realty Trust,AKR,Joseph M. Napolitano,54,"Senior Vice President, Chief Administrative Officer",2007,
Acadia Realty Trust,AKR,Kenneth F. Bernstein,57,"President, Chief Executive Officer, Trustee",2001,
Acadia Realty Trust,AKR,Lee S. Wielansky,67,Lead Independent Trustee,2004,
Acadia Realty Trust,AKR,Lorrence T. Kellar,81,Independent Trustee,2003,
Acadia Realty Trust,AKR,Lynn C. Thurber,72,Independent Trustee,2016,
Acadia Realty Trust,AKR,Wendy W. Luscombe,67,Independent Trustee,2004,
Acadia Realty Trust,AKR,William T. Spitz,67,Independent Trustee,2007,
Accelerate Diagnostics Inc,AXDX.O,Charles McDonald Watts,76,Independent Director,2017,
Accelerate Diagnostics Inc,AXDX.O,Frank J M ten Brink,62,Independent Director,2013,
Accelerate Diagnostics Inc,AXDX.O,Jack W. Schuler,78,Independent Director,2012,
Accelerate Diagnostics Inc,AXDX.O,John Patience,71,Independent Chairman of the Board,2012,
Accelerate Diagnostics Inc,AXDX.O,John Phillips,54,"Chief Executive Officer, Chief Operating Officer, Director",2020,
Accelerate Diagnostics Inc,AXDX.O,Louise L. Francesconi,65,Director,2019,
Accelerate Diagnostics Inc,AXDX.O,Mark C. Miller,63,Independent Director,2013,
Accelerate Diagnostics Inc,AXDX.O,Matthew W. Strobeck,46,Independent Director,2012,
Accelerate Diagnostics Inc,AXDX.O,Roland D Diggelmann,52,Director,2019,
Accelerate Diagnostics Inc,AXDX.O,Ron Price,54,"Senior Vice President and Head of Commercial Operations, Americas",2017,
Accelerate Diagnostics Inc,AXDX.O,Steve Reichling,40,Chief Financial Officer,2012,
Accelerate Diagnostics Inc,AXDX.O,Thomas D. Brown,70,Independent Director,2017,
Acceleron Pharma Inc,XLRN.O,Francois E. Nader,63,Independent Chairman of the Board,2015,
Acceleron Pharma Inc,XLRN.O,Habib J. Dable,49,"President, Chief Executive Officer, Director",2016,
Acceleron Pharma Inc,XLRN.O,Jay T Backstrom,,Executive Vice President - Research and Development,2019,
Acceleron Pharma Inc,XLRN.O,Jean M. George,61,Independent Director,2005,
Acceleron Pharma Inc,XLRN.O,John D. Quisel,47,"Executive Vice President, Chief Business Officer, Secretary",2018,
Acceleron Pharma Inc,XLRN.O,Joseph S. Zakrzewski,56,Independent Director,2011,
Acceleron Pharma Inc,XLRN.O,Karen L. Smith,51,Independent Director,2018,
Acceleron Pharma Inc,XLRN.O,Kemal Malik,57,Director,2020,
Acceleron Pharma Inc,XLRN.O,Kevin F. McLaughlin,62,"Chief Financial Officer, Senior Vice President, Treasurer",2010,
Acceleron Pharma Inc,XLRN.O,Ravindra Kumar,59,"Senior Vice President, Chief Scientific Officer",2016,
Acceleron Pharma Inc,XLRN.O,Sujay R. Kango,55,Senior Vice President and Chief Commercial Officer,2018,
Acceleron Pharma Inc,XLRN.O,Terrence C. Kearney,64,Independent Director,2014,
Acceleron Pharma Inc,XLRN.O,Thomas A. McCourt,61,Independent Director,2016,
Accenture Plc,ACN,Arun Sarin,65,Independent Director,2015,
Accenture Plc,ACN,Daniel T. London,55,Group Chief Executive - Health & Public Service Operating Group,2014,
Accenture Plc,ACN,David P. Rowland,58,Executive Chairman of the Board,2019,
Accenture Plc,ACN,Domingo Miron,54,Group Chief Executive - Financial Services,2019,
Accenture Plc,ACN,Ellyn J. Shook,56,"Chief Human Resource Officer, Chief Leadership Officer",2015,
Accenture Plc,ACN,Frank Kui Tang,51,Independent Director,2014,
Accenture Plc,ACN,Gianfranco Casati,60,Group Chief Executive - Growth Markets,2014,
Accenture Plc,ACN,Gilles Christian Gerard Pelisson,62,Lead Independent Director,2020,
Accenture Plc,ACN,Herbert Hainer,65,Independent Director,2016,
Accenture Plc,ACN,Jaime Ardila,64,Independent Director,2013,
Accenture Plc,ACN,James O. Etheredge,56,"Chief Executive, North America",2019,
Accenture Plc,ACN,Jean-Marc Ollagnier,57,Group Chief Executive - Resources Operating Group,2011,
Accenture Plc,ACN,Joel Scott Unruch,41,"Chief Compliance Officer, General Counsel, Secretary",2019,
Accenture Plc,ACN,Johan G. Deblaere,57,"Chief Operating Officer, Chief Executive - Europe",2014,
Accenture Plc,ACN,John F. Walsh,,"Group Chief Executive Officer - Communications, Media and Technology",2019,
Accenture Plc,ACN,Julie Spellman Sweet,52,"Chief Executive Officer, Director",2019,
Accenture Plc,ACN,KC C. McClure,54,Chief Financial Officer,2019,
Accenture Plc,ACN,Nancy McKinstry,60,Independent Director,2016,
Accenture Plc,ACN,Paula A. Price,58,Independent Director,2014,
Accenture Plc,ACN,Richard P. Clark,58,"Chief Accounting Officer, Corporate Controller",2013,
Accenture Plc,ACN,Simon Eaves,52,Group Chief Executive - Products Operating Group,2019,
Accenture Plc,ACN,Tracey Thomas Travis,57,Independent Director,2017,
Accenture Plc,ACN,Venkata S. M. Renduchintala,54,Independent Director,2018,
ACCO Brands Corporation,ACCO.A,Boris Y. Elisman,56,"Chairman of the Board, President, Chief Executive Officer",2016,
ACCO Brands Corporation,ACCO.A,Cezary L. Monko,57,"President, Executive Vice President - ACCO Brands EMEA",2017,
ACCO Brands Corporation,ACCO.A,E. Mark Rajkowski,60,Independent Director,2012,
ACCO Brands Corporation,ACCO.A,Graciela Monteagudo,52,Independent Director,2016,
ACCO Brands Corporation,ACCO.A,Gregory J. McCormack,55,Senior Vice President - Global Products and Operations,2018,
ACCO Brands Corporation,ACCO.A,Hans Michael Norkus,72,Independent Director,2009,
ACCO Brands Corporation,ACCO.A,James A. Buzzard,63,Lead Independent Director,2012,
ACCO Brands Corporation,ACCO.A,Kathleen D. Hood,49,"Senior Vice President, Chief Accounting Officer",2017,
ACCO Brands Corporation,ACCO.A,Kathleen S. Dvorak,62,Independent Director,2010,
ACCO Brands Corporation,ACCO.A,Mark C. Anderson,56,Senior Vice President - Corporate Development,2007,
ACCO Brands Corporation,ACCO.A,Neal Vernon Fenwick,57,"Executive Vice President, Chief Financial Officer",2005,
ACCO Brands Corporation,ACCO.A,Pamela R. Schneider,59,"Senior Vice President, General Counsel, Secretary",2012,
ACCO Brands Corporation,ACCO.A,Patrick H. Buchenroth,52,"President, Executive Vice President - ACCO Brands International",2017,
ACCO Brands Corporation,ACCO.A,Pradeep Jotwani,64,Independent Director,2014,
ACCO Brands Corporation,ACCO.A,Ralph P. Hargrow,66,Senior Vice President and Global Chief People Officer,2013,
ACCO Brands Corporation,ACCO.A,Robert J. Keller,65,Independent Director,2016,
ACCO Brands Corporation,ACCO.A,Ronald M. Lombardi,55,Independent Director,2018,
ACCO Brands Corporation,ACCO.A,Stephen J. Byers,53,"Senior Vice President, Chief Information Officer",2019,
ACCO Brands Corporation,ACCO.A,Thomas Kroeger,70,Independent Director,2009,
ACCO Brands Corporation,ACCO.A,Thomas W. Tedford,48,"Executive Vice President, President - ACCO Brands North America",2015,
Accuray Incorporated,ARAY.O,Beverly A. Huss,59,Independent Director,2018,
Accuray Incorporated,ARAY.O,Elizabeth H. Davila,75,Independent Director,2017,
Accuray Incorporated,ARAY.O,Jack Goldstein,72,Independent Director,2010,
Accuray Incorporated,ARAY.O,James M. Hindman,58,Independent Director,2019,
Accuray Incorporated,ARAY.O,Jesse Chew,38,"Senior Vice President, General Counsel, Secretary",2018,
Accuray Incorporated,ARAY.O,Joseph E. Whitters,60,Independent Director,2018,
Accuray Incorporated,ARAY.O,Joshua H. Levine,61,"President, Chief Executive Officer, Director",2012,
Accuray Incorporated,ARAY.O,Louis J. Lavigne,71,Independent Chairperson of the Board,2010,
Accuray Incorporated,ARAY.O,Patrick Spine,48,"Senior Vice President, Chief Administrative Officer",2018,
Accuray Incorporated,ARAY.O,Richard R. Pettingill,71,Independent Director,2012,
Accuray Incorporated,ARAY.O,Shigeyuki Hamamatsu,46,"Chief Financial Officer, Senior Vice President",2018,
Accuray Incorporated,ARAY.O,Suzanne C. Winter,,"Senior Vice President, Chief Commercial Officer",2019,
AcelRx Pharmaceuticals Inc,ACRX.O,Adrian Adams,68,Independent Chairman of the Board,2013,
AcelRx Pharmaceuticals Inc,ACRX.O,Badri N. Dasu,56,Chief Engineering Officer,2007,
AcelRx Pharmaceuticals Inc,ACRX.O,Howard B. Rosen,61,Director,2017,
AcelRx Pharmaceuticals Inc,ACRX.O,Lawrence G. Hamel,67,Chief Development Officer,2006,
AcelRx Pharmaceuticals Inc,ACRX.O,Mark A. Wan,53,Independent Director,2006,
AcelRx Pharmaceuticals Inc,ACRX.O,Mark G. Edwards,61,Independent Director,2011,
AcelRx Pharmaceuticals Inc,ACRX.O,Pamela P. Palmer,56,"Co-Founder, Director, Chief Medical Officer",2005,
AcelRx Pharmaceuticals Inc,ACRX.O,Raffi M. Asadorian,49,Chief Financial Officer,2017,
AcelRx Pharmaceuticals Inc,ACRX.O,Richard F. Afable,65,Independent Director,2013,
AcelRx Pharmaceuticals Inc,ACRX.O,Stephen J. Hoffman,65,Independent Director,2010,
AcelRx Pharmaceuticals Inc,ACRX.O,Vincent J. Angotti,51,"Chief Executive Officer, Director",2017,
ACI Worldwide Inc,ACIW.O,Adalio T. Sanchez,59,Independent Director,2015,
ACI Worldwide Inc,ACIW.O,Anthony M. Scotto,61,"Senior Executive Vice President, Chief Risk Officer",2010,
ACI Worldwide Inc,ACIW.O,Carolyn B. Homberger,37,"Group President, Global Sales",2006,
ACI Worldwide Inc,ACIW.O,Charles E. Peters,67,Independent Director,2015,
ACI Worldwide Inc,ACIW.O,Craig A. Maki,52,"Executive Vice President, Treasurer, Chief Corporate Development Officer",2012,
ACI Worldwide Inc,ACIW.O,Craig Saks,48,"Interim President and Chief Executive Officer, Chief Operating Officer",2020,
ACI Worldwide Inc,ACIW.O,Daniel J. Frate,57,"Senior Executive Vice President, Group President, ACI On Demand P&L",2012,
ACI Worldwide Inc,ACIW.O,David A. Poe,70,Independent Director,2014,
ACI Worldwide Inc,ACIW.O,Dennis P. Byrnes,55,"Chief Administrative Officer, Executive Vice President, General Counsel, Secretary",2011,
ACI Worldwide Inc,ACIW.O,Eve Aretakis,,Executive Vice President of Application Development of ACI,,
ACI Worldwide Inc,ACIW.O,James C. Hale,67,Independent Director,2015,
ACI Worldwide Inc,ACIW.O,Janet O. Estep,62,Independent Director,2015,
ACI Worldwide Inc,ACIW.O,Pamela H. Patsley,62,Independent Director,2018,
ACI Worldwide Inc,ACIW.O,Scott W. Behrens,47,"Senior Executive Vice President, Chief Financial Officer",2011,
ACI Worldwide Inc,ACIW.O,Thomas W. Warsop,52,Independent Director,2015,
Aclaris Therapeutics Inc,ACRS.O,Anand Mehra,43,Independent Director,2016,
Aclaris Therapeutics Inc,ACRS.O,Andrew Kenneth William Powell,61,Independent Director,2017,
Aclaris Therapeutics Inc,ACRS.O,Andrew N. Schiff,53,Independent Director,2017,
Aclaris Therapeutics Inc,ACRS.O,Bryan M. Reasons,51,Independent Director,2018,
Aclaris Therapeutics Inc,ACRS.O,Christopher P. Molineaux,53,Independent Director,2014,
Aclaris Therapeutics Inc,ACRS.O,David Gordon,50,Chief Medical Officer,2018,
Aclaris Therapeutics Inc,ACRS.O,Frank Ruffo,52,"Co-Founder, Chief Financial Officer",2016,
Aclaris Therapeutics Inc,ACRS.O,Kamil Ali-Jackson,60,"Chief Legal Officer, Chief Compliance Officer, Secretary",2016,
Aclaris Therapeutics Inc,ACRS.O,Maxine Gowen,61,Independent Director,2019,
Aclaris Therapeutics Inc,ACRS.O,Neal Walker,49,"President, Chief Executive Officer, Director",2012,
Aclaris Therapeutics Inc,ACRS.O,Vincent J. Milano,56,Director,2020,
Aclaris Therapeutics Inc,ACRS.O,William Douglas Humphries,52,Independent Director,2016,
ACNB Corporation,ACNB.O,Alan J. Stock,61,Independent Chairman of the Board,2020,
ACNB Corporation,ACNB.O,D. Arthur Seibel,60,Director,2017,
ACNB Corporation,ACNB.O,Daniel W. Potts,66,Independent Director,2004,
ACNB Corporation,ACNB.O,David L. Sites,63,Independent Director,2010,
ACNB Corporation,ACNB.O,David W. Cathell,64,"Chief Financial Officer, Executive Vice President, Treasurer",2008,
ACNB Corporation,ACNB.O,Donna M. Newell,48,Independent Director,2012,
ACNB Corporation,ACNB.O,Frank Elsner,57,Independent Chairman of the Board,2013,
ACNB Corporation,ACNB.O,J. Emmett Patterson,71,Independent Director,2012,
ACNB Corporation,ACNB.O,James Eugene Williams,65,Independent Director,2007,
ACNB Corporation,ACNB.O,James J. Lott,56,Independent Director,2007,
ACNB Corporation,ACNB.O,James P. Helt,52,"President, Chief Executive Officer",2017,
ACNB Corporation,ACNB.O,Kimberly S. Chaney,,Director,2020,
ACNB Corporation,ACNB.O,Lynda L. Glass,58,"Chief Governance Officer, Executive Vice President, Secretary",2011,
ACNB Corporation,ACNB.O,Marian B. Schultz,69,Independent Director,1992,
ACNB Corporation,ACNB.O,Richard L. Alloway,51,Independent Director,2015,
ACNB Corporation,ACNB.O,Scott L. Kelley,67,Independent Director,2012,
ACNB Corporation,ACNB.O,Thomas A. Ritter,67,Director,2017,
ACNB Corporation,ACNB.O,Todd L. Herring,57,Independent Director,2017,
Acorda Therapeutics Inc,ACOR.O,Barry E. Greene,55,Independent Director,2007,
Acorda Therapeutics Inc,ACOR.O,Burkhard Blank,64,Chief Medical Officer and Head of R&D,2019,
Acorda Therapeutics Inc,ACOR.O,Catherine D. Strader,65,Independent Director,2017,
Acorda Therapeutics Inc,ACOR.O,David Lawrence,61,"Chief Business Operations, Principal Accounting Officer",2016,
Acorda Therapeutics Inc,ACOR.O,John P. Kelley,65,Independent Director,2008,
Acorda Therapeutics Inc,ACOR.O,Lauren M. Sabella,58,Chief Commercial Officer,2015,
Acorda Therapeutics Inc,ACOR.O,Lorin Jeffry Randall,75,Independent Director,2006,
Acorda Therapeutics Inc,ACOR.O,Peder K. Jensen,64,Independent Director,2011,
Acorda Therapeutics Inc,ACOR.O,Ron Cohen,63,"President,Chief Executive Officer, Director",,
Acorda Therapeutics Inc,ACOR.O,Sandra Panem,72,Independent Director,1998,
Acorda Therapeutics Inc,ACOR.O,Steven M. Rauscher,65,Independent Director,2005,
"Activision Blizzard, Inc.",ATVI.O,Barry M. Meyer,75,Independent Director,2014,
"Activision Blizzard, Inc.",ATVI.O,Brian G. Kelly,56,Chairman of the Board,2013,
"Activision Blizzard, Inc.",ATVI.O,Casey Wasserman,44,Independent Director,2015,
"Activision Blizzard, Inc.",ATVI.O,Christopher B. Walther,52,Chief Legal Officer,2011,
"Activision Blizzard, Inc.",ATVI.O,Claudine Naughton,,Chief People Officer,2019,
"Activision Blizzard, Inc.",ATVI.O,Collister W Johnson,42,"President, Chief Operating Officer",2017,
